row,p_coef,i_coef,p_star,difference
0,0.2,10.0,20,1.6155121365550604
1,4.0,0.3,10,3.727346571535385
2,0.0,1.0,25,0.7753552074800112
3,0.0,1.0,35,0.4228661777578333
4,8.0,0.1,20,0.6322220640583325
5,0.0,2.0,35,2.8143874881129323
6,1.0,3.0,25,0.4925278877223888
7,0.0,2.0,10,0.7028673111056634
8,1.0,0.5,10,0.0003082831506953
9,0.0,2.0,35,1.1960145650501506
10,0.6,0.5,25,11.10508160936324
11,0.4,0.3,20,11.387142706732286
13,2.0,6.0,20,0.8443511382181832
14,3.0,7.0,25,1.197759673329899
15,0.0,4.0,30,0.9864154107179886
16,1.0,3.0,15,0.2110272666707482
19,1.0,0.5,20,1.0542658591571374
21,0.0,1.0,30,0.6341703707693398
22,2.0,4.0,30,0.4232967293465322
23,1.0,3.0,30,0.8451943427227882
24,1.0,0.5,20,1.3370254837335986
25,0.0,1.0,20,0.9836106719841132
26,0.0,3.0,20,0.7029666175725744
27,0.6,0.4,25,1.826374350489889
28,0.4,3.0,15,5.554113174947391
29,0.3,2.0,10,1.9698845797752824
30,0.0,2.0,30,1.1951904622334313
31,2.0,8.0,15,0.4225175397351108
32,0.5,8.0,30,1.267404437543818
33,0.0,2.0,15,0.4931833652606894
34,7.0,1.0,10,0.8432254431898194
35,2.0,4.0,10,0.7041150274330414
36,5.0,3.0,15,2.5328213121584566
37,0.8,0.2,10,3.163819034785048
39,0.0,2.0,30,0.6345054032105413
40,0.0,2.0,25,0.3528921955930579
42,0.2,0.5,15,5.273938145429743
44,1.0,0.6,15,4.638274561235332
45,1.0,0.9,10,4.638647595773159
46,0.0,2.0,15,0.070818168858886
47,0.0,4.0,25,0.0715150156864616
49,1.0,3.0,30,0.3525746031983194
50,0.0,2.0,35,0.913202478209822
51,5.0,0.4,20,3.0208004033632623
52,1.0,0.5,20,1.0562998248541238
53,7.0,10.0,30,0.913183792596204
54,0.3,0.5,25,9.493197101763888
55,1.0,3.0,30,8.015894194112981
56,0.6,7.0,35,1.1280637574113437
57,3.0,7.0,15,0.9861320972167212
58,0.5,5.0,35,0.4260552055359747
59,0.0,1.0,10,0.0712974683064389
60,0.0,1.0,30,0.6332749310189136
62,0.5,3.0,25,2.110857965083797
64,0.0,4.0,30,2.533428230735238
65,1.0,0.5,25,0.7736601123996802
66,6.0,0.9,25,1.6189551871394396
67,2.0,4.0,35,1.337123935456459
69,0.0,2.0,20,1.125579883815977
71,0.0,3.0,10,0.2822472832422518
72,0.9,3.0,35,5.063147591631848
74,0.0,1.0,10,0.562855573525181
75,0.0,3.0,30,0.6331539024018973
76,0.0,2.0,15,1.055139078798824
77,0.4,0.8,25,3.231598027863476
79,0.0,4.0,15,0.7735576604449594
80,0.0,1.0,30,1.124237728568363
81,0.0,2.0,30,4.430933971434603
82,0.0,2.0,20,0.4931839815668226
83,0.9,0.6,15,0.1424229237830339
84,0.2,0.1,20,1.828936890896311
85,1.0,3.0,10,0.1406895172276776
86,0.4,1.0,15,4.076403864845785
87,4.0,0.5,10,0.3524122309944157
88,8.0,10.0,30,0.9170431980954667
89,0.9,10.0,25,0.4936223858882389
90,0.0,4.0,10,0.0709465083467888
91,0.9,0.9,10,0.4227147782249982
93,0.0,2.0,20,1.125422853053399
94,1.0,0.5,10,1.1260275029449571
95,0.4,0.8,25,1.475419956068495
99,1.0,3.0,35,1.68830727594841
100,2.0,9.0,10,0.563150149204958
101,0.0,4.0,10,0.4226993707540343
102,0.4,0.2,20,5.695896206884875
103,4.0,9.0,25,0.7048915585649596
104,1.0,3.0,10,0.5635240275428846
106,5.0,1.0,35,3.729395015198131
107,0.0,3.0,20,0.0015969795220698
108,0.6,1.0,25,1.6891956793450724
110,6.0,0.5,30,3.722798098879899
111,0.0,2.0,25,0.9154836827448368
112,2.0,0.7,20,1.4783230378122756
113,0.3,8.0,20,0.2121649689015932
114,1.0,0.5,15,0.8442923412579386
115,1.0,1.0,20,1.5454382605670371
116,0.0,2.0,15,0.6335567429425959
118,0.1,0.7,10,0.5633525113986257
119,0.0,2.0,30,1.266314408612348
123,2.0,1.0,25,2.674953758018801
124,1.0,3.0,10,0.4924827837000354
125,0.0,2.0,35,0.9156602353892858
126,1.0,3.0,35,0.9148176013977808
127,2.0,4.0,15,0.8444026587420135
128,0.0,1.0,15,0.8441759400860183
129,0.0,2.0,15,0.1415844098330714
130,0.0,1.0,35,0.7756056880396915
131,7.0,6.0,15,1.1955781879787732
132,0.0,2.0,25,0.2116773603625752
135,1.0,0.5,35,0.983221319025235
136,0.9,0.2,30,4.290999449082865
137,0.0,1.0,20,0.564035463362428
138,3.0,0.6,30,2.2475182131748603
139,0.0,1.0,30,2.1786799202856315
140,0.4,0.9,35,3.3729408607929194
142,0.5,4.0,35,1.6897558103274737
143,0.6,4.0,15,0.9148895586107492
144,0.0,1.0,25,1.8269670619069045
145,0.01,8.0,20,0.9155177067049588
146,1.0,0.5,35,0.5638966837062469
148,0.0,4.0,25,1.40567528357799
149,0.0,1.0,20,0.1417998918729264
150,4.0,0.9,35,1.6209364975736662
151,0.0,1.0,25,1.4781020138308971
153,0.6,7.0,35,1.5486111210119553
154,3.0,0.3,25,0.4238671876887991
155,2.0,4.0,30,0.9853544402906332
156,1.0,3.0,35,2.1104985415203483
157,3.0,0.9,20,0.986558339518356
160,0.7,10.0,35,1.8304231015778611
162,7.0,0.5,25,3.1614663277382125
163,0.7,2.0,20,9.41789897004309
165,0.5,2.0,25,1.6197754680622358
166,0.7,0.9,30,9.2761811136784
167,2.0,8.0,10,0.5621667647023214
168,1.0,3.0,35,1.896847566866156
171,0.2,6.0,10,0.9847069556962706
172,0.8,6.0,20,0.4941086544968263
173,0.1,0.7,10,0.774152168394985
174,0.0,1.0,15,0.984584347163218
175,1.0,0.5,25,1.197038942472676
176,0.7,4.0,25,1.193720564104221
177,0.0,2.0,30,0.5642899021270793
178,0.0,1.0,15,0.2821993227027501
179,0.0,3.0,35,1.7590927207251408
180,1.0,0.3,20,1.3352499387647798
181,5.0,0.4,10,0.2812838861995042
182,0.0,3.0,35,0.633036464949507
184,2.0,4.0,25,0.9834170173039424
186,0.0,2.0,20,0.8443469381084672
187,0.0,0.1,15,17.71591234351347
188,1.0,3.0,30,3.162349336497006
190,0.6,6.0,10,0.3526734917751737
191,0.0,1.0,25,0.2130453376873173
192,0.0,10.0,15,2.600733757209918
193,0.0,2.0,15,0.6334712730185723
194,0.0,4.0,20,1.267096060182479
195,0.0,2.0,15,1.0546461010620505
196,0.0,4.0,35,6.048424831263161
197,0.4,7.0,10,0.7744351748770812
199,0.0,0.1,30,3.09266694620188
200,1.0,0.8,30,3.9388930887478457
201,0.7,0.9,10,4.427694351619126
202,0.3,1.0,35,17.501571977324932
203,1.0,0.5,30,0.7045416005737763
204,0.2,0.7,35,8.292146604785417
205,1.0,4.0,10,0.5640334836785943
206,1.0,0.7,10,1.686660143095251
207,0.8,5.0,15,1.5475990930814447
208,0.0,3.0,35,0.5641486625722925
209,0.1,0.7,30,1.4052790576799217
210,1.0,3.0,15,1.0562503862880377
211,2.0,4.0,30,1.336116145573344
212,0.4,0.4,30,1.1951809712210464
213,7.0,1.0,15,0.984176092089605
214,0.9,3.0,20,9.980090647877551
215,2.0,4.0,20,0.6329727970976924
216,2.0,0.1,35,4.284171579485192
217,0.0,1.0,20,0.4224000041352251
218,1.0,8.0,15,0.3521112350840862
219,0.0,2.0,20,0.3534385282754222
221,0.0,1.0,25,0.7744761550798502
222,0.7,4.0,15,4.497556607397662
223,0.0,4.0,10,0.1416477832422265
224,0.5,10.0,30,1.3376306131808864
227,0.3,0.3,25,6.329554817929686
228,6.0,10.0,35,0.9137947041535348
231,0.01,3.0,25,3.1663640399577515
233,0.5,0.6,35,1.7607189330423705
235,0.0,2.0,30,0.1432040948515265
237,1.0,3.0,35,0.7042547286295164
238,10.0,3.0,30,3.6530096458021575
239,0.2,4.0,35,1.8285136246100933
240,2.0,0.2,30,1.4044295512558236
241,1.0,1.0,10,0.8450444034789868
242,0.0,2.0,10,0.7737616971190224
243,0.0,2.0,30,0.7039570892666358
244,8.0,2.0,20,0.2124515644398243
245,0.0,2.0,35,0.9142449486068908
246,0.0,6.0,30,0.9155302994475836
247,0.6,0.8,25,10.823495611099736
248,2.0,4.0,25,1.056105684743744
249,1.0,0.5,15,0.3521016096072245
250,0.1,0.1,25,8.436526226023117
251,0.0,1.0,15,1.265280420056753
252,2.0,4.0,25,1.1235766565446763
253,2.0,4.0,25,1.1971802930997084
256,0.0,1.0,35,1.0546198100985764
258,0.5,7.0,20,1.126315018366024
259,3.0,6.0,10,1.0555904470350734
260,2.0,4.0,20,0.9845536358836302
262,2.0,0.5,25,2.9547053891871693
264,0.0,1.0,20,0.3529199795068072
265,0.3,10.0,25,1.3383045327280243
266,0.0,2.0,15,1.9673811345561385
267,9.0,9.0,25,0.5633912350841008
